source,target,weight
32764,19290,1
32686,19276,2
17290,19108,1
32806,19301,2
17290,19293,0
32805,19301,2
32805,19283,1
28337,10523,0
32816,19317,1
32686,19127,1
8370,19283,1
32664,19319,0
14675,19323,1
14675,19283,1
30212,19329,0
836,19272,6
20517,6744,0
32429,19308,0
30212,19341,1
20517,19271,2
32805,19268,0
32686,19349,0
30048,19348,0
18434,16306,4
32805,19349,0
14675,19352,1
14675,19357,5
14904,19359,1
32872,10932,6
8517,19348,0
32873,18903,7
14904,19365,2
14904,19367,1
3044,19220,6
32877,9036,1
836,19378,2
17122,14368,1
14904,19380,1
836,19385,0
30212,14864,0
16024,19391,1
29587,19392,3
14904,19397,1
2932,19365,4
32926,19400,1
21433,19396,0
29575,19406,1
32946,17514,3
32686,19390,0
29217,19402,0
836,19407,0
32848,19305,0
32926,19395,1
8370,19405,3
30928,19425,0
32686,19430,1
381,19430,3
26562,19436,1
23305,19438,3
924,19443,1
14904,19439,0
555,19452,7
14904,19455,3
30578,19141,1
30578,19456,3
836,19462,1
30212,19429,1
14372,19465,0
14904,19471,0
32230,19466,2
2932,19478,1
2932,19482,4
30212,19479,4
30212,19477,1
24593,19449,0
29575,19476,2
32130,19471,0
27265,8358,0
29217,19427,0
33091,19097,0
33092,4977,0
16024,19481,1
26700,12500,3
26700,16088,1
33095,19499,1
14675,19504,3
12473,19427,0
33106,15393,0
2932,19493,1
1077,19343,1
17177,19432,3
29575,19514,1
23380,19523,4
30212,19527,0
17208,19523,4
30212,19536,1
23305,19538,2
381,19543,0
17177,19545,0
17177,19546,0
4881,19493,1
17177,16762,1
924,19530,1
17290,19536,0
26700,15733,1
108,19558,0
32230,19555,0
14675,19557,1
33202,12775,2
23305,19322,1
12515,16762,1
381,19562,2
32686,19575,0
33020,19575,0
836,19578,2
33226,19584,2
33226,19571,0
14675,19586,3
14904,19591,1
32230,19591,2
14675,19595,1
14560,19589,0
33020,19602,2
33020,19606,1
22012,14581,5
836,19620,3
30928,19625,2
30036,19620,0
31245,19626,4
33237,19631,1
8370,19638,2
30048,19605,0
14675,19643,1
30335,19649,1
924,19648,3
2932,19605,4
12515,19653,4
33326,19381,0
18843,19611,2
33333,18854,0
108,19670,0
